大分類,子分類,細項分類,項目,備註,狀態
芊芊衣服,07/05 搭機移動日,,無鋼圈內衣,x1,
芊芊衣服,07/05 搭機移動日,,內褲,x1,
芊芊衣服,07/05 搭機移動日,,薄襪,x1,
芊芊衣服,07/05 搭機移動日,,短袖,x1,
芊芊衣服,07/05 搭機移動日,,薄襯衫,x1,
芊芊衣服,07/05 搭機移動日,,運動鞋,,
芊芊衣服,07/05 搭機移動日,,一般薄褲,x1,
芊芊衣服,07/05 搭機移動日,,紫色薄外套,x1 / 隨身包裡,
芊芊衣服,07/05 搭機移動日,,涼鞋,背著,
芊芊衣服,07/06–07/20,內衣褲,無鋼圈內衣,x1,
芊芊衣服,07/06–07/20,內衣褲,內衣,x4,
芊芊衣服,07/06–07/20,內衣褲,內褲,x5,
芊芊衣服,07/06–07/20,襪子,薄襪,x4,
芊芊衣服,07/06–07/20,襪子,登山羊毛襪,x2,
芊芊衣服,07/06–07/20,上衣,登山短袖,x1,
芊芊衣服,07/06–07/20,上衣,一般短袖,x3,
芊芊衣服,07/06–07/20,上衣,薄長袖(登山),x3,
芊芊衣服,07/06–07/20,褲子,一般薄褲,x1,
芊芊衣服,07/06–07/20,褲子,薄登山褲,x2,
芊芊衣服,07/06–07/20,褲子,厚登山褲,x2,
芊芊衣服,07/06–07/20,褲子,短褲,x1,
芊芊衣服,睡衣,,休閒短袖上衣,,
芊芊衣服,睡衣,,睡褲-長,,
芊芊衣服,睡衣,,睡褲-短,,
芊芊衣服,保暖衣服,,長排汗衣褲,,
芊芊衣服,保暖衣服,,Extra warm 發熱衣,,
芊芊衣服,保暖衣服,,薄發熱衣,,
芊芊衣服,保暖衣服,,Extra warm 發熱褲,,
芊芊衣服,外套,,輕羽絨外套,,
芊芊衣服,外套,,Gortex 外套,,
芊芊衣服,外套,,薄防曬外套,,
芊芊衣服,配件,,輕便帽,,
芊芊衣服,配件,,遮陽帽,,
芊芊衣服,配件,,保暖帽,,
芊芊衣服,配件,,脖圍,,
芊芊衣服,配件,,保暖手套,,
小可衣服,8/10 搭機移動日,,內褲,x1,
小可衣服,8/10 搭機移動日,,短袖,x1,
小可衣服,8/10 搭機移動日,,長褲,x1,
小可衣服,8/10 搭機移動日,,襪子,x1,
小可衣服,08/11–08/24 英國,,內褲,x4,
小可衣服,08/11–08/24 英國,,短袖睡衣褲,,
小可衣服,08/11–08/24 英國,上半身,一般短袖,x2,
小可衣服,08/11–08/24 英國,上半身,快乾短袖,x2,
小可衣服,08/11–08/24 英國,上半身,薄長袖,x2,
小可衣服,08/11–08/24 英國,上半身,快乾長袖,x1,
小可衣服,08/11–08/24 英國,上半身,排汗衣褲,,
小可衣服,08/11–08/24 英國,下半身,快乾長褲,x1,
小可衣服,08/11–08/24 英國,下半身,短褲,x3,
小可衣服,08/11–08/24 英國,下半身,短襪,x4,
小可衣服,08/11–08/24 英國,下半身,登山襪,x1,
小可衣服,外套,,Gortex 外套,,
小可衣服,外套,,羽絨外套,,
小可衣服,外套,,保暖帽,,
小可衣服,外套,,保暖手套,,
小可衣服,配件,,遮陽帽,,
小可衣服,配件,,輕便帽,,
小兔衣服,07/05 搭機移動日,,運動涼鞋,,
小兔衣服,07/05 搭機移動日,,內褲,x1,
小兔衣服,07/05 搭機移動日,,短袖,x1,
